0x7f0f000f,KeyTimesOfPersonalizedNavCornerViewShown,TimesOfPersonalizedNavCornerViewShown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0010,KeyTimesOfSetupProfileCornerViewShown,TimesOfSetupProfileCornerViewShown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0011,KrkeyECO,KrkeyECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0012,KrkeyFastest,KrkeyFastest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0013,KrkeyPreferredHighway,KrkeyPreferredHighway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0014,KrkeyTollFree,KrkeyTollFree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0015,LastUpdate,Last Update:,Last Update:,آخر تحديث:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,최근 업데이트:,,,,Dernière mise à jour :,,,,,,,,,,,Última actualización:,,,,,,Última atualização:,,,,,,,,,,,,,,,,,Останнє оновлення:,,,Letztes Update:,Senaste uppdatering:,Последна актуализация:,การอัพเดตครั้งล่าสุด:,Viimeisin päivitys:,Zadnja posodobitev:,Sidste opdatering:,,Posledná aktualizácia:,Laatst bijgewerkt:,Ostatnia aktualizacja:,上一次更新：,,Siste oppdatering:,Ultima actualizare:,,Τελευταία ενημέρωση:,Posljednje ažuriranje:,Son Güncelleme:,Poslednje ažuriranje:,,Ultimo aggiornamento:,,,Legutóbbi frissítés:,Дата последнего обновления:,,,Poslední aktualizace:
0x7f0f0016,MRTStationItemLabel,Subway/Light Rail Stations,Subway/Light Rail Stations,محطات المترو/السكك الحديدية الخفيفة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,지하철역/경전철역,,,,Métro/Tram-train,,,,,,,,,,,Estaciones de metro/ferrocarril,,,,,,Estações de metro,,,,,,,,,,,,,,,,Stations de métro/trains légers,Станції метро/електричок,,,U-Bahn-/S-Bahn-Stationen,Tunnelbana/pendeltåg,Метро/градски ЖП станции,สถานีรถไฟใต้ดิน/รถไฟฟ้า,Metro-/raitiovaunuasemat,Podzemne postaje/hitri tramvaji,Metro-/Letbanestationer,,Stanice klasického alebo ľahkého metra,Metro-/lightrail-/tramstations,Stacje metra/kolei miejskiej,地铁/轻轨站,,Stoppesteder undergrunn/trikk,Stații de metrou/tramvai,,Σταθμοί μετρό/σιδηροδρόμου,Postaje podzemne/lake gradske željeznice,Metro/Hafif Raylı Sistemler,Stanice metroa/tramvaja,Estaciones de Metro/Tren Ligero,Stazioni tram/metropolitana,,,Metró/Keskeny nyomtávú vasúti megálló,Станции метро/мини-метро,,Estaciones de Metro/Tren Ligero,Stanice metra/nadzemní dráhy
0x7f0f0017,MinimumParkingPriceInformation,From,From,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,À partir de,,,,,,,,,,,Desde,,,,,,De,,,,,,,,,,,,,,,,,,,,Von,Från,,จาก,,,Fra,,,Van,Od,,,Fra,,,Από,,,,,Da,,,,,,,
0x7f0f0018,Preparing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0019,RecentDestinationsClearedMessage,Recent Destinations Cleared,Recent Destinations Cleared,تم مسح الوجهات الأخيرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,최근 목적지 삭제됨,,,,Destinations récentes effacées,,,,,,,,,,,Destinos recientes borrados,,,,,,Destinos recentes apagados,,,,,,,,,,,,,,,,Destinations récentes effacées,Нещодавні пункти призначення очищено,,,Letzte Ziele gelöscht,Senaste destinationerna raderade,Скорошните дестинации са изчистени.,ล้างข้อมูลจุดหมายปลายทางล่าสุดแล้ว,Viimeisimmät määränpäät tyhjennetty,Nedavni cilji so počiščeni.,Seneste destinationer er slettet,,Nedávne ciele boli vymazané,Recente bestemmingen gewist,Usunięto ostatnie cele podróży,目的地记录已清除,,Siste destinasjoner er slettet,Destinații recente șterse,,Οι πρόσφατοι προορισμοί διαγράφηκαν,Posljednja odredišta su izbrisana,Son Varış Yerleri Silindi,Nedavna odredišta obrisana,Destinos Recientes eliminados.,Destinazioni recenti cancellate,,,A legutóbbi úti célok törlődtek,Список последних пунктов назначения очищен,,Destinos Recientes Borrados,Nedávné cíle smazány
0x7f0f001a,RecentDestinationsRestoredMessage,Recent Destinations Restored,Recent Destinations Restored,تمت استعادة الوجهات الأخيرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,최근 목적지 복원됨,,,,Destinations récentes restaurées,,,,,,,,,,,Destinos recientes restaurados,,,,,,Destinos recentes restaurados,,,,,,,,,,,,,,,,,Список останніх пунктів призначення відновлено,,,Letzte Ziele wiederhergestellt,Senaste destinationerna återställda,Скорошните дестинации са възстановени.,กู้คืนจุดหมายปลายทางล่าสุดแล้ว,Viimeisimmät määränpäät palautettu,Nedavni cilji obnovljeni,Seneste destinationer er gendannet,,Nedávne ciele boli obnovené,Recente bestemmingen teruggezet,Przywrócono ostatnie cele podróży,目的地记录已恢复,,Siste destinasjoner er gjenopprettet,Destinații recente memorate,,Έγινε επαναφορά των πρόσφατων προορισμών,Posljednja odredišta su vraćena,Son Varış Yerleri Geri Yüklendi,Nedavna odredišta vraćena,Destinos Recientes restablecidos.,Destinazioni recenti ripristinate,,,A legutóbbi úti célok visszaállításra kerültek,Список последних пунктов назначения восстановлен,,Destinos Recientes Restablecidos,Nedávné cíle obnoveny
0x7f0f001b,RouteUpdating,RouteUpdating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f001c,SdCardInfo,SD card info:,SD card info:,معلومات بطاقة SD لنظام الملاحة:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,내비게이션 SD 카드 정보:,,,,Infos sur la carte SD de nav. :,,,,,,,,,,,Info. de tarjeta SD navegación:,,,,,,Inform. do cartão SD de naveg.:,,,,,,,,,,,,,,,,Info carte SD de navigation :,Інф. про SD-картку для навіг.:,Nav SD card info:,,Info zur Navigations-SD-Karte:,Nav SD-kort-info:,Информация за нав. SD карта:,ข้อมูลการ์ด SD ของระบบนำทาง:,Nav SD -kortin tiedot:,Informacije o Nav SD-kartici:,Nav SD-kortoplysninger:,,Informácie o Nav SD karte:,Info SD-kaart navigatie:,Info o karcie SD nawigacji:,导航SD卡信息：,,Info om Nav SD-kort:,Info pt. cardul SD de navigație:,,Πληροφ. κάρτας SD:,Informacije o navig. SD kartici:,Nav SD kart bilgileri:,Informacija o Nav SD kartici:,Información de tarjeta SD:,Info scheda SD navigatore:,,,Nav SD-kártya info:,Данные карты SD навигации:,,Información de tarjeta SD:,Informace o SD kartě navigace:
0x7f0f001d,SdcardErrorTitle,Map Data Error,Map Data Error,خطأ في بطاقة SD لنظام الملاحة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,내비게이션 SD 카드 오류,,,,Erreur de données cartographiques,,,,,,,,,,,Error de datos del mapa,,,,,,Erro de Dados dos Mapas,,,,,,,,,,,,,,,,Erreur carte SD de navigation,Помилка SD-картки для навігації,,,Kartendatenfehler,Fel på kartdata,Грешка с навигационна SD карта,ตัวเลขผิดพลาด,Nav SD -kortin virhe,Napaka Nav SD-kartice,Kortdatafej,,Chyba Nav SD karty,Fout kaartgegevens,Błąd danych mapy,导航SD卡错误,,Feil på kart data,Eroare card SD de navigație,,Σφάλμα δεδομένων χάρτη,Pogreška navigacijske SD kartice,Nav SD Kart Hatası,Greška Nav SD kartice,Error de Tarjeta SD,Errore Dati Mappa,,SD Card Error,Nav SD-kártya hiba,Ошибка карты SD для навигации,,Error de Tarjeta SD,Chyba SD karty navigace
0x7f0f001e,SdcardFunctionNotProperlyErrorMessage,Map data is not functioning properly.,Map data is not functioning properly.,لا تعمل بطاقة SD لنظام الملاحة بشكل صحيح.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,내비게이션 SD 카드가 올바로 작동하고 있지 않습니다.,,,,Les données cartographiques ne fonctionnent pas correctement.,,,,,,,,,,,Los datos del mapa no funcionan correctamente.,,,,,,Dados dos mapas não funcionam correctamente.,,,,,,,,,,,,,,,,La carte SD de navigation ne fonctionne pas correctement.,SD-картка для навігації не функціонує як слід.,,,Kartendaten funktionieren nicht ordnungsgemäß.,Kartdatan fungerar ej korrekt.,Навигационната SD карта не работи правилно.,ตัวเลขใช้งานปกติไม่ได้,Nav SD -kortti ei toimi oikein,Nav SD-kartica ne deluje pravilno.,Kort data fungerer ikke korrekt.,,Nav SD karta nefunguje správne.,De kaartgegevens functioneren niet goed.,Dane mapy nie działają,导航SD卡工作不正常。,,Kart data fungerer ikke som normalt,Cardul SD de navigație nu funcționează corect.,,Τα δεδομένα χάρτη δεν λειτουργούν σωστά.,Navigacijska SD kartica nije ispravna.,Nav SD kart düzgün çalışmıyor.,Nav SD kartica ne funkcioniše kako treba.,La tarjeta SD no funciona adecuadamente.,La Mappa non funziona come dovrebbe.,,SD card is not functioning properly.,A Nav SD-kártya nem megfelelően működik.,Карта SD для навигации неисправна.,,La tarjeta SD no funciona adecuadamente.,SD karta navigace nepracuje správně
0x7f0f001f,SdcardNotValidForVehicleErrorMessage,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.,بطاقة SD لا تصلح مع هذه السيارة للتجوال. يرجى مراجعة موقع بوابة المستخدم للمزيد من المعلومات. ويمكن طلب مساعدة قسم العملاء/الوكيل المحلي.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이 SD 카드는 차량 내비게이션 사용에 유효하지 않습니다. 포털 사이트에서 문제해결 방법을 찾거나 고객지원 또는 서비스센터에 연락하세요.,,,,Données cartographiques non valables dans ce véhicule pour la navigation. Consultez votre concessionnaire pour plus d'infos.,,,,,,,,,,,Los datos del mapa no son válidos en este vehículo para la navegación. Consulte a su distribuidor para más información.,,,,,,Dados dos mapas não válidos neste veículo para navegação. Consulte o seu revendedor para mais informação.,,,,,,,,,,,,,,,,"Carte SD non valide pour nav. Pour plus d'info, voir le site Web du portail du prop. ou cont. le service à la client. ou votre concessionnaire.",Ця картка SD недійсна для навігації в цьому авто. Див. портал власника або зверніться до сл. підтримки/дилера.,,,"Kartendaten sind für die Navigation in diesem Fahrzeug nicht gültig. Für weitere Einzelheiten, wenden Sie sich bitte an Ihren Händler.",Kartdatan är inte giltig i det här fordonet för navigering. Kontakta din återförsäljare för mer information.,Невалидна SD карта за навигация. Вижте в портала за собственици или се свържете с „Поддръжка"/дилъра.,ข้อมูลแผนที่ใช้ไม่ใด้ในรถคันนี้สำหรับการนำทาง โปรดปรึกษาตัวแทนจำหน่ายของคุณขอข้อมูลเพิ่มเติม,SD-kortti ei käy navigointiin. Katso lisätietoja verkkoportaalista tai ota yhteys asiakastukeen tai jälleenmyyjään.,Ta kartica SD ni veljavna za nav. v tem vozilu. Za več info. obiščite spletno stran proizvajalca ali pa se obrnite na vašega Opel partnerja.,Kortdata er ikke gyldige i dette køretøj til navigation. Kontakt din forhandler for at få flere oplysninger.,,"SD karta nie je určená na navigáciu v tomto vozidle. Viac sa dozviete na webe, od podpory alebo u predajcu.",Kaartgegevens zijn niet geldig in dit voertuig voor navigatie. Raadpleeg uw dealer voor meer informatie.,"Ta karta SD nie nadaje się do nawigacji w tym pojeździe. Więcej informacji – portal właśc., lub skontaktuj się z pom. tech. lub dealerem.",本车辆中的SD卡在导航时失效。有关更多信息请参阅车主门户网站。还可联系客户支持或当地经销商寻求帮助。,,Kartdata er ikke gyldige i dette kjøretøyet for navigering. Ta kontakt med forhandleren for mer informasjon.,Acest card SD nu este valid pt navigaţia acestui vehicul. Vizitaţi portal utilizator pe website sau apelaţi asist. clienţ/dealer.,,Τα δεδομένα χάρτη δεν είναι έγκυρα για πλοήγηση σε αυτό το αυτοκίνητο. Για περισσότερες πληροφορίες απευθυνθείτε στον αντιπρόσωπό σας.,Ova SD kartica nije valjana za navigaciju u ovom vozilu. Više informac. naći ćete na web-stranici portala za vlasnike.,"SD kartı, navigasyon için geçersiz. Bilgi için portala başvurabilir, müşteri desteğini veya bayinizi arayabilirsiniz.",SD kartica ne važi za navigaciju u ovom vozilu Videti portal za vlasnike za više informacija ili kontakitrati korisnič.podršku ili lok. prodavca.,Esta tarjeta SD no es válida en este vehículo para navegación. Vea el portal del propietario. Contacte servicio al cliente o a su distribuidor.,I dati della mappa non sono validi in questo veicolo per la navigazione. Si prega di consultare il proprio rivenditore per ulteriori informazioni.,,"SD card invalid for nav in this vehicle. Refer to owner portal website for info, or contact customer support or dealer for help.",Az SD-kártya navigációhoz érvénytelen. Infó: tulajdonosi portál weboldal vagy ügyfélszolgálat vagy márkakereskedés.,SD-карта не может использоваться в этом а/м. См. сайт для владельцев или обратитесь в поддержку/к дилеру.,,Esta tarjeta SD no es válida en este vehículo para navegación. Vea el portal del propietario. Contacte servicio al cliente o a su distribuidor.,Tato SD karta není platná pro navigaci. Více info na portálu majitele. Také můžete kontak- tovat zákaznickou podoru nebo prodejce.
0x7f0f0020,SdcardRemovedErrorMessage,Map data is not functioning properly.,Map data is not functioning properly.,لقد تم نزع بطاقة SD لنظام الملاحة.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,내비게이션 SD 카드가 제거되었습니다.,,,,Les données cartographiques ne fonctionnent pas correctement.,,,,,,,,,,,Los datos del mapa no funcionan correctamente.,,,,,,Dados dos mapas não funcionam correctamente.,,,,,,,,,,,,,,,,La carte SD de navigation a été retirée.,SD-картку для навігації вилучено.,,,Kartendaten funktionieren nicht ordnungsgemäß.,Kartdatan fungerar ej korrekt.,Навигационната SD карта е извадена.,ตัวเลขใช้งานปกติไม่ได้,Nav SD -kortti on poistettu.,Nav SD-kartica je bila odstranjena.,Kort data fungerer ikke korrekt.,,Nav SD karta bola odstránená.,De kaartgegevens functioneren niet goed.,Dane mapy nie działają,导航SD卡已移除,,Kart data fungerer ikke som normalt,Cardul SD de navigație a fost scos.,,Τα δεδομένα χάρτη δεν λειτουργούν σωστά.,Navigacijska SD kartica je uklonjena.,Nav SD kart çıkarıldı.,Nav SD kartica je uklonjena.,Se ha removido la tarjeta SD.,La Mappa non funziona come dovrebbe.,,SD card has been removed.,A Nav SD-kártya eltávolításra került.,Карта SD для навигации извлечена.,,Se ha removido la tarjeta SD.,SD karta navigace byla vyjmuta.
0x7f0f0021,SearchHistoryClearedMessage,Search History Cleared,Search History Cleared,تم مسح محفوظات البحث,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,검색 기록 삭제됨,,,,Historique de recherche effacé,,,,,,,,,,,Historial de búsqueda borrado,,,,,,Histórico de pesquisa apagado,,,,,,,,,,,,,,,,L'historique de recherche a été effacé.,Історію пошуку очищено,,,Suchverlauf gelöscht,Sökhistorik rensad,Историята на търсенията е изчистена.,ล้างข้อมูลประวัติการค้นหาแล้ว,Hakuhistoria tyhjennetty,Zgodovina iskanja je počiščena.,Søgehistorik ryddet,,História vyhľadávania bola vymazaná,Zoekgeschiedenis gewist,Usunięto historię wyszukiwania,搜索历史记录已清除,,Søkehistorikk slettet,Istoric căutare șters,,Το ιστορικό αναζήτησης διαγράφηκε,Posljednje odredište(a) je/su izbrisano(a),Arama Geçmişi Silindi,Istorija pretraživanja obrisana,Historial de Búsqueda eliminado.,Cronologia ricerche cancellata,,,Keresési előzmények törölve,История поиска очищена,,Historial de Búsqueda Borrado,Historie vyhledávání smazána
0x7f0f0022,SearchHistoryRestoredMessage,Search History Restored,Search History Restored,تمت استعادة محفوظات البحث,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,검색 기록 복원됨,,,,Historique de recherche restauré,,,,,,,,,,,Historial de búsqueda restaurado,,,,,,Histórico de pesquisa restaurado,,,,,,,,,,,,,,,,L'historique de recherche a été restauré.,Історію пошуку відновлено,,,Suchverlauf wiederhergestellt,Sökhistorik återställd,Историята на търсенията е възстановена.,กู้คืนประวัติการค้นหาแล้ว,Hakuhistoria palautettu,Zgodovina iskanja obnovljena,Søgehistorik gendannet,,História vyhľadávania bola obnovená,Zoekgeschiedenis teruggezet,Przywrócono historię wyszukiwania,搜索历史记录已恢复,,Søkehistorikk gjenopprettet,Istoric căutare restabilit,,Έγινε επαναφορά του ιστορικού αναζήτησης,Povijest pretraživanja je vraćena,Arama Geçmişi Geri Yüklendi,Istorija pretraživanja vraćena,Historial de Búsqueda restablecido.,Cronologia ricerche ripristinata,,,Keresési előzmények visszaállítva,История поиска восстановлена,,Historial de Búsqueda Restablecido,Historie vyhledávání obnovena
0x7f0f0023,SuggestionBrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0024,SuggestionCuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0025,SuggestionLandmarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0026,TitleEnableADR,Enable ADR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0027,TitleEnableAllFeatures,Enable All Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0028,TitleEnableEngineerMode,Enable Engineer Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f0029,TitleEnableStreamingMap,Enable Streaming Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x7f0f002a,TitleExpiredTime,Mock Billing Expired Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
