String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
RecentDestinationsRestoredMessage,Recent Destinations Restored,Recent Destinations Restored,Destinations récentes restaurées,,최근 목적지 복원됨,تمت استعادة الوجهات الأخيرة,Destinos recentes restaurados,Senaste destinationerna återställda,Viimeisimmät määränpäät palautettu,Скорошните дестинации са възстановени.,Destinos recientes restaurados,Przywrócono ostatnie cele podróży,目的地记录已恢复,Έγινε επαναφορά των πρόσφατων προορισμών,Letzte Ziele wiederhergestellt,กู้คืนจุดหมายปลายทางล่าสุดแล้ว,Список последних пунктов назначения восстановлен,Posljednja odredišta su vraćena,Siste destinasjoner er gjenopprettet,Nedavna odredišta vraćena,,Nedavni cilji obnovljeni,Destinos Recientes Restablecidos,A legutóbbi úti célok visszaállításra kerültek,Seneste destinationer er gendannet,Список останніх пунктів призначення відновлено,Destinazioni recenti ripristinate,Son Varış Yerleri Geri Yüklendi,Destinații recente memorate,,,Nedávné cíle obnoveny,Recente bestemmingen teruggezet,Nedávne ciele boli obnovené,Destinos Recientes restablecidos.,
SdCardInfo,SD card info:,SD card info:,,,내비게이션 SD 카드 정보:,معلومات بطاقة SD لنظام الملاحة:,Inform. do cartão SD de naveg.:,Nav SD-kort-info: ,Nav SD -kortin tiedot:,Информация за нав. SD карта:,Info. de tarjeta SD navegación:,Info o karcie SD nawigacji:,导航SD卡信息：,Πληροφ. κάρτας SD:,Info zur Navigations-SD-Karte:,ข้อมูลการ์ด SD ของระบบนำทาง:,Данные карты SD навигации:,Informacije o navig. SD kartici:,Info om Nav SD-kort:,Informacija o Nav SD kartici:,Info carte SD de navigation :,Informacije o Nav SD-kartici:,Información de tarjeta SD:,Nav SD-kártya info:,Nav SD-kortoplysninger:,Інф. про SD-картку для навіг.:,Info scheda SD navigatore:,Nav SD kart bilgileri:,Info pt. cardul SD de navigație:,Nav SD card info:,SD card info:,Informace o SD kartě navigace:,Info SD-kaart navigatie:,Informácie o Nav SD karte:,Información de tarjeta SD:,Infos sur la carte SD de nav. :
SdcardErrorTitle,Map Data Error,Map Data Error,,,내비게이션 SD 카드 오류,خطأ في بطاقة SD لنظام الملاحة,Erro de Dados dos Mapas,Fel på kartdata,Nav SD -kortin virhe,Грешка с навигационна SD карта,Error de datos del mapa,Błąd danych mapy,导航SD卡错误,Σφάλμα δεδομένων χάρτη,Kartendatenfehler,ตัวเลขผิดพลาด,Ошибка карты SD для навигации,Pogreška navigacijske SD kartice,Feil på kart data,Greška Nav SD kartice,Erreur carte SD de navigation,Napaka Nav SD-kartice,Error de Tarjeta SD,Nav SD-kártya hiba,Kortdatafej,Помилка SD-картки для навігації,Errore Dati Mappa,Nav SD Kart Hatası,Eroare card SD de navigație,Map Data Error,SD Card Error,Chyba SD karty navigace,Fout kaartgegevens,Chyba Nav SD karty,Error de Tarjeta SD,Erreur de données cartographiques
SdcardFunctionNotProperlyErrorMessage,Map data is not functioning properly.,Map data is not functioning properly.,,,내비게이션 SD 카드가 올바로 작동하고 있지 않습니다.,لا تعمل بطاقة SD لنظام الملاحة بشكل صحيح.,Dados dos mapas não funcionam correctamente.,Kartdatan fungerar ej korrekt.,Nav SD -kortti ei toimi oikein,Навигационната SD карта не работи правилно.,Los datos del mapa no funcionan correctamente.,Dane mapy nie działają,导航SD卡工作不正常。,Τα δεδομένα χάρτη δεν λειτουργούν σωστά.,Kartendaten funktionieren nicht ordnungsgemäß.,ตัวเลขใช้งานปกติไม่ได้,Карта SD для навигации неисправна.,Navigacijska SD kartica nije ispravna.,Kart data fungerer ikke som normalt,Nav SD kartica ne funkcioniše kako treba.,La carte SD de navigation ne fonctionne pas correctement.,Nav SD-kartica ne deluje pravilno.,La tarjeta SD no funciona adecuadamente.,A Nav SD-kártya nem megfelelően működik.,Kort data fungerer ikke korrekt.,SD-картка для навігації не функціонує як слід.,La Mappa non funziona come dovrebbe.,Nav SD kart düzgün çalışmıyor.,Cardul SD de navigație nu funcționează corect.,Map data is not functioning properly.,SD card is not functioning properly.,SD karta navigace nepracuje správně,De kaartgegevens functioneren niet goed.,Nav SD karta nefunguje správne.,La tarjeta SD no funciona adecuadamente.,Les données cartographiques ne fonctionnent pas correctement.
SdcardNotValidForVehicleErrorMessage,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.,,,이 SD 카드는 차량 내비게이션 사용에 유효하지 않습니다. 포털 사이트에서 문제해결 방법을 찾거나 고객지원 또는 서비스센터에 연락하세요.,بطاقة SD لا تصلح مع هذه السيارة للتجوال. يرجى مراجعة موقع بوابة المستخدم للمزيد من المعلومات. ويمكن طلب مساعدة قسم العملاء/الوكيل المحلي.,Dados dos mapas não válidos neste veículo para navegação. Consulte o seu revendedor para mais informação.,Kartdatan är inte giltig i det här fordonet för navigering. Kontakta din återförsäljare för mer information.,SD-kortti ei käy navigointiin. Katso lisätietoja verkkoportaalista tai ota yhteys asiakastukeen tai jälleenmyyjään.,Невалидна SD карта за навигация. Вижте в портала за собственици или се свържете с „Поддръжка\"/дилъра.,"Los datos del mapa no son
válidos en este vehículo para la navegación. Consulte a su distribuidor para más
información.","Ta karta SD nie nadaje się do nawigacji w tym pojeździe. Więcej informacji – portal właśc., lub skontaktuj się z pom. tech. lub dealerem.",本车辆中的SD卡在导航时失效。有关更多信息请参阅车主门户网站。还可联系客户支持或当地经销商寻求帮助。,Τα δεδομένα χάρτη δεν είναι έγκυρα για πλοήγηση σε αυτό το αυτοκίνητο. Για περισσότερες πληροφορίες απευθυνθείτε στον αντιπρόσωπό σας.,"Kartendaten sind für die Navigation in diesem Fahrzeug nicht gültig. Für weitere Einzelheiten, wenden Sie sich bitte an Ihren Händler.",ข้อมูลแผนที่ใช้ไม่ใด้ในรถคันนี้สำหรับการนำทาง โปรดปรึกษาตัวแทนจำหน่ายของคุณขอข้อมูลเพิ่มเติม,SD-карта не может использоваться в этом а/м. См. сайт для владельцев или обратитесь в поддержку/к дилеру.,Ova SD kartica nije valjana za navigaciju u ovom vozilu. Više informac. naći ćete na web-stranici portala za vlasnike.,Kartdata er ikke gyldige i dette kjøretøyet for navigering. Ta kontakt med forhandleren for mer informasjon.,SD kartica ne važi za navigaciju u ovom vozilu Videti portal za vlasnike za više informacija ili kontakitrati korisnič.podršku ili lok. prodavca.,"Carte SD non valide pour nav. Pour plus d\'info, voir le site Web du portail du prop. ou cont. le service à la client. ou votre concessionnaire.",Ta kartica SD ni veljavna za nav. v tem vozilu. Za več info. obiščite spletno stran proizvajalca ali pa se obrnite na vašega Opel partnerja.,Esta tarjeta SD no es válida en este vehículo para navegación. Vea el portal del propietario. Contacte servicio al cliente o a su distribuidor.,Az SD-kártya navigációhoz érvénytelen. Infó: tulajdonosi portál weboldal vagy ügyfélszolgálat vagy márkakereskedés.,Kortdata er ikke gyldige i dette køretøj til navigation. Kontakt din forhandler for at få flere oplysninger.,Ця картка SD недійсна для навігації в цьому авто. Див. портал власника або зверніться до сл. підтримки/дилера.,I dati della mappa non sono validi in questo veicolo per la navigazione. Si prega di consultare il proprio rivenditore per ulteriori informazioni.,"SD kartı, navigasyon için geçersiz. Bilgi için portala başvurabilir, müşteri desteğini veya bayinizi arayabilirsiniz.",Acest card SD nu este valid pt navigaţia acestui vehicul. Vizitaţi portal utilizator pe website sau apelaţi asist. clienţ/dealer.,Map data is not valid in this vehicle for navigation. Please consult your dealer for more information.,"SD card invalid for nav in this vehicle. Refer to owner portal website for info, or contact customer support or dealer for help.",Tato SD karta není platná pro navigaci. Více info na portálu majitele. Také můžete kontak- tovat zákaznickou podoru nebo prodejce.,Kaartgegevens zijn niet geldig in dit voertuig voor navigatie. Raadpleeg uw dealer voor meer informatie.,"SD karta nie je určená na navigáciu v tomto vozidle. Viac sa dozviete na webe, od podpory alebo u predajcu.",Esta tarjeta SD no es válida en este vehículo para navegación. Vea el portal del propietario. Contacte servicio al cliente o a su distribuidor.,Données cartographiques non valables dans ce véhicule pour la navigation. Consultez votre concessionnaire pour plus d\'infos.
SdcardRemovedErrorMessage,Map data is not functioning properly.,Map data is not functioning properly.,,,내비게이션 SD 카드가 제거되었습니다.,لقد تم نزع بطاقة SD لنظام الملاحة.,Dados dos mapas não funcionam correctamente.,Kartdatan fungerar ej korrekt.,Nav SD -kortti on poistettu.,Навигационната SD карта е извадена.,Los datos del mapa no funcionan correctamente.,Dane mapy nie działają,导航SD卡已移除,Τα δεδομένα χάρτη δεν λειτουργούν σωστά.,Kartendaten funktionieren nicht ordnungsgemäß.,ตัวเลขใช้งานปกติไม่ได้,Карта SD для навигации извлечена.,Navigacijska SD kartica je uklonjena.,Kart data fungerer ikke som normalt,Nav SD kartica je uklonjena.,La carte SD de navigation a été retirée.,Nav SD-kartica je bila odstranjena.,Se ha removido la tarjeta SD.,A Nav SD-kártya eltávolításra került.,Kort data fungerer ikke korrekt.,SD-картку для навігації вилучено.,La Mappa non funziona come dovrebbe.,Nav SD kart çıkarıldı.,Cardul SD de navigație a fost scos.,Map data is not functioning properly.,SD card has been removed.,SD karta navigace byla vyjmuta.,De kaartgegevens functioneren niet goed.,Nav SD karta bola odstránená.,Se ha removido la tarjeta SD.,Les données cartographiques ne fonctionnent pas correctement.
SearchHistoryClearedMessage,Search History Cleared,Search History Cleared,,,검색 기록 삭제됨,تم مسح محفوظات البحث,Histórico de pesquisa apagado,Sökhistorik rensad,Hakuhistoria tyhjennetty,Историята на търсенията е изчистена.,Historial de búsqueda borrado,Usunięto historię wyszukiwania,搜索历史记录已清除,Το ιστορικό αναζήτησης διαγράφηκε,Suchverlauf gelöscht,ล้างข้อมูลประวัติการค้นหาแล้ว,История поиска очищена,Posljednje odredište(a) je/su izbrisano(a),Søkehistorikk slettet,Istorija pretraživanja obrisana,L\'historique de recherche a été effacé.,Zgodovina iskanja je počiščena.,Historial de Búsqueda Borrado,Keresési előzmények törölve,Søgehistorik ryddet,Історію пошуку очищено,Cronologia ricerche cancellata,Arama Geçmişi Silindi,Istoric căutare șters,,,Historie vyhledávání smazána,Zoekgeschiedenis gewist,História vyhľadávania bola vymazaná,Historial de Búsqueda eliminado.,Historique de recherche effacé
SearchHistoryRestoredMessage,Search History Restored,Search History Restored,,,검색 기록 복원됨,تمت استعادة محفوظات البحث,Histórico de pesquisa restaurado,Sökhistorik återställd,Hakuhistoria palautettu,Историята на търсенията е възстановена.,Historial de búsqueda restaurado,Przywrócono historię wyszukiwania,搜索历史记录已恢复,Έγινε επαναφορά του ιστορικού αναζήτησης,Suchverlauf wiederhergestellt,กู้คืนประวัติการค้นหาแล้ว,История поиска восстановлена,Povijest pretraživanja je vraćena,Søkehistorikk gjenopprettet,Istorija pretraživanja vraćena,L\'historique de recherche a été restauré.,Zgodovina iskanja obnovljena,Historial de Búsqueda Restablecido,Keresési előzmények visszaállítva,Søgehistorik gendannet,Історію пошуку відновлено,Cronologia ricerche ripristinata,Arama Geçmişi Geri Yüklendi,Istoric căutare restabilit,,,Historie vyhledávání obnovena,Zoekgeschiedenis teruggezet,História vyhľadávania bola obnovená,Historial de Búsqueda restablecido.,Historique de recherche restauré
TripAssistMessage,Smart Destination learns and predicts your favorite stops to help you get there faster without any typing.\n\nManage Smart Destination in Options > Settings > Predictive Navigation.,Smart Destination learns and predicts your favorite stops to help you get there faster without any typing.\n\nManage Smart Destination in Options > Settings > Predictive Navigation.,,,스마트 목적지는 즐겨찾는 장소를 학습하고 예측하여 목적지를 입력하지 않고도 해당 장소에 더 빨리 도착하도록 돕습니다.\n\n옵션 > 설정 > 스마트 내비게이션에서 스마트 목적지를 관리하십시오.,تعمل \"الوجهة الذكية\" على فهم وتوقع محطات التوقف المفضّلة لديك للمساعدة على الوصول إليها دون الحاجة لإدخال أي نص.\n\nيمكن التحكّم بميزة \"الوجهة الذكية\" في \"الخيارات\" > الإعدادات\" > \"التجوال التنبئي\".,O Destino inteligente aprende e prevê as suas paragens favoritas para o ajudar a chegar mais depressa sem digitar mais nada.\n\nGira o Destino inteligente em Opções > Definições > Navegação preditiva.,Smart destination sparar och förutser dina favoritstopp så att du kan köra dit utan att behöva ange destination.\n\nHantera smart destination i Alternativ > Inställningar > Prediktiv navigation.,"Älykäs määränpää oppii ja ennakoi suosikkipysähdyksesi, jotta pääset perille nopeammin kirjoittamatta mitään.\n\nHallitse Älykäs määränpää -toiminnon asetuksia kohdassa Valinnat > Asetukset > Ennakoiva navigointi","Умната дестинация научава и предвижда Вашите любими спирки, за да Ви помогне да стигнете по-бързо, без да въвеждате нищо.\n\nУправлявайте „Умна дестинация\"" от Опции > Настройки > Интелигентна навигация.",Destino inteligente aprende y predice sus paradas favoritas para ayudarle a llegar a ellas más rápido sin tener que escribir.\n\nGestione Destino inteligente en Opciones > Configuración > Navegación predictiva.,"Funkcja Inteligentne cele zapamiętuje Twoje ulubione cele podróży i przewiduje je, eliminując konieczność wprowadzania ich nazwy i pomagając w szybszym dotarciu na miejsce.\n\nAby wyłączyć funkcję Inteligentne cele, wybierz: Opcje > Ustawienia > Nawigacja przewidująca.",智能目的地可学习并预测您偏爱的停车点以帮助您更快到达该目的地，无需键入任何信息。\n\n可在选项 > 设置 > 预测导航中管理智能目的地。,"Ο Έξυπνος προορισμός μαθαίνει και προβλέπει τις αγαπημένες σας ενδιάμεσες στάσεις και σας βοηθά να φτάσετε στον προορισμός σας χωρίς να χρειάζεται να πληκτρολογείτε.\n\nΓια να χειριστείτε τον Έξυπνο προορισμό, μεταβείτε στις Επιλογές > Ρυθμίσεις > Πλοήγηση με πρόβλεψη.","„Intelligentes Ziel“ lernt Ihre Lieblingsziele und sagt sie voraus. So kommen Sie schneller ans Ziel, ohne etwas eingeben zu müssen.\n\n„Intelligentes Ziel“ verwalten in Optionen > Einstellungen > Vorausschauende Navigation.",จุดหมายปลายทางแบบสมาร์ทจะเรียนรู้และคาดการณ์สถานที่โปรดที่คุณไปบ่อย เพื่อช่วยให้คุณไปถึงที่นั่นได้เร็วขึ้น โดยไม่จำเป็นต้องทำการพิมพ์ใดๆ\n\nจัดการจุดหมายปลายทางแบบสมาร์ทใน ตัวเลือก > การตั้งค่า > Predictive Navigation,Смарт-пункт назначения запоминает и автоматически предлагает часто посещаемые места для прокладки маршрутов без ввода данных.\n\nУправление смарт-пунктами назначения: Параметры>Настройки>Прогнозирование маршрута.,Pametno odredište uči i predviđa vaša omiljena stajališta kako biste bez tipkanja brže stigli na odredište.\n\nPostavkama pametnog odredišta možete upravljati u izborniku Opcije > Postavke > Predvidljiva navigacija.,Smart-destinasjon lærer og forutsier dine favorittstopper og hjelper deg med å komme raskt dit uten at du behøver å skrive noe.\n\nAdministrer Smart-destinasjon i Alternativer > Innstillinger > Forutsigende navigering.,Funkcija za pametno odredište uči i predviđa koja su vaša omiljena mesta za pauzu da biste do njih stigli brže i bez ikakvog kucanja.\n\nUpravljajte funkcijom za pametno odredište u delu „Opcije“ > „Podešavanja“ > „Prediktivna navigacija“.,La fonction Destination intelligente mémorise et prévoit vos arrêts favoris pour vous aider à y arriver plus rapidement sans aucune saisie.\n\nVous pouvez gérer Destination intelligente dans Options > Paramètres > Navigation prédictive,"Pametni cilj si zapomni in predvidi vaše priljubljene postanke ter vam pomaga doseči cilj hitreje in brez tipkanja.\n\nUporabite Možnosti > Nastavitve > Navigacija s predvidevanjem, če želite upravljati pametne cilje.",Destino Inteligente aprende y predice sus paradas favoritas para ayudarle a llegar ahí más rápido y sin teclear.\n\nAdministre Destino Inteligente en Opciones > Configuración > Navegación Predictiva,"Az Intelligens úticél-választási funkció megismeri és előre jelzi a kedvenc megállóhelyeit, hogy segíteni tudja Önt célja gyorsabban elérésében, mégpedig anélkül, hogy Önnek szöveget kellene beírnia.\n\nAz Intelligens úticél-választási funkció a Lehetőségek > Beállítások > Prediktív navigáció menüpont alatt kezelhető.","Smart Destination lærer og varsler om dine foretrukne stop, så du kan nå hurtigere frem uden indtastninger.\n\nHåndter Smart Destination under Valgmuligheder > Indstillinger > Adaptiv nNavigation.","Функція інтелектуальних пунктів призначення запам’ятовує та прогнозує місця, в яких ви часто зупиняєтесь, щоб ви могли доїхати в потрібне місце, не вводячи його для пошуку вручну.\n\nКерувати ними можна в розділі \""Параметри\"" > \""Налаштування\"" > \""Предиктивна навігація\"".",Destinazione intelligente acquisisce e prevede le tue soste preferite per aiutarti ad arrivare prima senza necessità di digitare.\n\nPuoi gestire Destinazione intelligente in Opzioni > Impostazioni > Navigazione predittiva.,Akıllı Varış Yeri herhangi bir giriş yapmadan en hızlı şekilde ulaşmanız için favori duraklarınızı öğrenir ve tahmin eder.\n\nSeçenekler > Ayarlar > Tahminli Navigasyon üzerinden Akıllı Varı Yerini\'ni yönetin.,Funcția Destinație inteligentă învață și vă prezice opririle favorite pentru a vă ajuta să ajungeți mai repede acolo fără să scrieți.\n\nAdministrați Destinație inteligentă în Opțiuni > Setări > Navigație Predictivă.,,,"Funkce Chytrý cíl se učí a předvídá vaše oblíbené zastávky, aby vám pomohla dostat se na ně rychleji bez jakéhokoli zapisování.\n\nTuto funkci můžete spravovat ve Volbách > Nastavení > Předvídavá navigace.","Smart Destination verkrijgt inzicht in uw favoriete bestemmingen en voorspelt deze, zodat u hier sneller kunt komen zonder iets in te typen.\n\nBeheer Smart Destination in Opties > Instellingen > Voorspellende navigatie.","Inteligentný cieľ zistí a predvída vaše obľúbené cieľové lokality, čím vám pomôže dostať sa na miesto rýchlejšie bez akéhokoľvek písania.\n\nFunkciu Inteligentný cieľ spravujete prostredníctvom položky Možnosti > Nastavenia > Prediktívna navigácia.",Trip Assist aprende y predice sus principales destinos y le ayuda a llegar más rápido sin necesidad de escribir.\n\nAdministrar Trip Assist en Opciones> Configuración> Navegación Predictiva.,"La destination intelligente mémorise et prévoit vos arrêts préférés pour vous aider à vous y rendre, sans saisir d\'informations.\n\nGérez les destinations intelligentes dans Options > Réglages > Navigation prédictive."
Update,Update,Update,Mettre à jour,Actualizar,업데이트,تحديث,Atualizar,Uppdatera,Päivitä,Актуализиране,,Aktualizuj,更新,Ενημέρωση,Aktualisieren,อัพเดต,Обновить,Ažuriraj,Oppdater,Ažuriraj,,Posodobi,,Frissítés,Opdatér,Оновити,Aggiorna,Güncelle,Actualizare,,,Aktualizovat,Bijwerken,Aktualizovať,,
Updating,Updating,Updating,Mise à jour en cours,Actualizando,업데이트 중,جاري التحديث,A atualizar,Uppdaterar,Päivitetään,Актуализиране,,Aktualizowanie,更新中,Γίνεται ενημέρωση,Aktualisiere,กำลังอัพเดต,Обновление,Ažuriranje u tijeku,Oppdaterer,Ažuriranje,,Posodabljanje,,Frissítés,Opdaterer,Оновлення,Aggiornamento in corso,Güncelleniyor,Se actualizează,,,Aktualizace,Bijwerken,Prebieha aktualizácia,,
acquiringGpsOnSplash,Acquiring GPS,Acquiring GPS,,,GPS 신호 수신 중,جاري البحث عن إشارة GPS,A adquirir sinal GPS...,Hämtar GPS,Haetaan GPS-signaalia,Търсене на GPS,Adquiriendo GPS...,Oczekiwanie na sygnał GPS,正在获取GPS信号,Λήψη GPS,GPS-Signal wird abgerufen...,กำลังค้นหาสัญญาณ GPS,Получение сигнала GPS,Dohvaćanje GPS signala u tijeku,Henter GPS,Hvatanje GPS signala je u toku...,Acquisition du signal GPS en cours,Pridobivanje signala GPS,Adquiriendo GPS,GPS jel keresése,Henter GPS-signal,Отримання сигналу GPS,Acquisizione GPS...,GPS Verileri Alınıyor,Se obține GPS,,,Hledání GPS signálu...,Gps-signaal zoeken,Získava sa signál GPS,Adquiriendo GPS,Acquisition du signal GPS...
